Record No.,City,Country,Latitude (degrees),Longitude (degrees),Date,Max Temperature (C),Cloudiness (%),Humidity (%),Wind Speed (kph)
0,Yellowknife,CA,62.45,-114.38,1520190000,-14.0,75,84,2.41401
1,Salalah,OM,17.01,54.1,1520193000,25.0,0,57,2.41401
2,Avera,US,33.19,-82.53,1520193300,19.0,1,16,4.9889540000000006
3,Ushuaia,AR,-54.81,-68.31,1520193600,10.0,40,61,22.369826
4,Faya,SA,18.39,42.45,1520193600,17.0,0,87,6.598293999999999
5,Tiksi,RU,71.64,128.87,1520194858,-33.329999999999984,44,44,2.2691694
6,Naze,NG,5.43,7.07,1520190000,26.0,75,74,4.9889540000000006
7,Klaksvik,FO,62.23,-6.59,1520191200,0.0,68,100,0.80467
8,Lokosovo,RU,61.13,74.84,1520194859,-9.204999999999984,88,81,6.936255399999999
9,Punta Arenas,CL,-53.16,-70.91,1520193600,13.0,75,37,25.588506
10,Kapaa,US,22.08,-159.32,1520193360,24.0,75,73,9.977908000000001
11,Cape Town,ZA,-33.93,18.42,1520193600,21.0,0,68,14.001257999999998
12,Flin Flon,CA,54.77,-101.88,1520190000,-10.0,90,66,7.402963999999999
13,Atuona,PF,-9.8,-139.03,1520194862,25.69500000000005,44,100,6.0511184
14,Japura,ID,-0.42,102.29,1520194862,21.94500000000005,92,100,1.7059004
15,Provideniya,RU,64.42,-173.23,1520194863,-1.30499999999995,80,97,9.752600399999999
16,Shache,CN,38.42,77.24,1520194863,1.9950000000000045,32,73,2.9933724
17,Kisanga,CD,-11.72,27.4,1520194864,16.670000000000016,64,94,2.1082354
18,Ponta do Sol,BR,-20.63,-46.0,1520194864,25.52000000000004,20,80,3.0738393999999998
19,Bluff,AU,-23.58,149.07,1520194864,21.52000000000004,8,89,5.4073823999999995
20,Kloulklubed,PW,7.04,134.26,1520193120,27.0,90,78,4.184284
21,Srandakan,ID,-7.94,110.25,1520194857,23.495000000000005,68,99,2.1082354
22,San Pedro de Macoris,DO,18.46,-69.3,1520193600,29.0,40,62,4.9889540000000006
23,Cayenne,GF,4.94,-52.33,1520193600,29.0,75,74,10.782578
24,Wroclaw,PL,51.1,17.03,1520191800,-5.0,0,57,6.598293999999999
25,Avarua,CK,-21.21,-159.78,1520190000,28.0,20,74,6.598293999999999
26,Caravelas,BR,-17.73,-39.27,1520194868,27.64500000000004,12,100,14.419686400000002
27,Norman Wells,CA,65.28,-126.83,1520190000,-15.0,90,77,3.379614
28,Port Alfred,ZA,-33.59,26.89,1520194869,17.82000000000005,0,96,3.8785094
29,Altay,CN,47.83,88.13,1520194870,-15.579999999999984,88,65,1.5449663999999999
30,Westport,IE,53.8,-9.52,1520191800,1.0,90,100,8.207633999999999
31,Thompson,CA,55.74,-97.86,1520190720,-12.0,75,66,5.793624
32,Souillac,FR,45.6,-0.6,1520191800,9.0,75,76,4.184284
33,Rikitea,PF,-23.12,-134.97,1520194872,27.170000000000016,68,99,8.7869964
34,Lahij,YE,13.06,44.88,1520194872,17.52000000000004,0,72,1.8668344
35,Mount Isa,AU,-20.73,139.49,1520191800,25.0,90,94,7.402963999999999
36,Qaanaaq,GL,77.48,-69.36,1520194873,-18.754999999999967,20,81,5.4878494
37,Hofn,IS,64.25,-15.21,1520194874,0.3450000000000273,80,100,19.489107399999998
38,Muros,ES,42.77,-9.06,1520191800,7.0,75,100,9.977908000000001
39,Khatanga,RU,71.98,102.47,1520194875,-26.80499999999998,56,72,7.9018594
40,Poum,MK,41.28,20.71,1520190000,6.0,75,81,1.60934
41,Haines Junction,CA,60.75,-137.51,1520194875,-12.954999999999984,0,84,1.9473014
42,Tasiilaq,GL,65.61,-37.64,1520193000,-7.0,88,73,19.794882
43,San Policarpo,PH,12.18,125.51,1520194877,25.52000000000004,88,98,8.3041944
44,Faanui,PF,-16.48,-151.75,1520194877,28.02000000000004,64,98,13.051747399999998
45,Riohacha,CO,11.54,-72.91,1520190000,28.0,20,69,7.402963999999999
46,Carnarvon,ZA,-30.97,22.13,1520194679,16.420000000000016,0,46,6.936255399999999
47,Saint-Augustin,FR,44.83,-0.61,1520191800,9.0,0,70,3.379614
48,Bukama,CD,-9.2,25.85,1520194878,19.595000000000027,92,100,2.5910374000000003
49,Baykit,RU,61.68,96.39,1520194879,-26.454999999999984,36,44,3.3152404
50,Bredasdorp,ZA,-34.53,20.04,1520193600,22.0,80,78,4.184284
51,Aklavik,CA,68.22,-135.01,1520190000,-10.0,75,85,4.184284
52,Sar-e Pul,AF,36.22,65.93,1520194880,-1.67999999999995,12,74,2.4301034
53,Mehamn,NO,71.03,27.85,1520194881,-6.42999999999995,56,90,1.2230984
54,Shizunai,JP,42.33,142.37,1520194881,-4.979999999999961,56,96,3.7175754
55,Albany,US,42.65,-73.75,1520193900,3.0,90,59,13.196587999999998
56,Khangarh,PK,29.91,71.16,1520193000,18.0,0,72,4.4417784
57,Upernavik,GL,72.79,-56.15,1520194882,-13.329999999999984,48,100,5.4878494
58,Lavrentiya,RU,65.58,-170.99,1520194883,-0.8549999999999613,88,97,11.3619404
59,Sao Joao da Barra,BR,-21.64,-41.05,1520193600,26.0,40,88,4.9889540000000006
60,New Norfolk,AU,-42.78,147.06,1520191800,11.0,75,66,4.9889540000000006
61,Vaini,IN,15.34,74.49,1520194884,18.245000000000005,0,81,1.7863674
62,Ottawa,CA,45.42,-75.69,1520190000,0.0,75,68,14.001257999999998
63,Bethel,US,60.79,-161.76,1520193180,-2.0,90,79,12.391918
64,Onega,RU,63.91,38.09,1520194885,-14.229999999999961,0,72,6.2925194
65,Maldonado,UY,-34.91,-54.96,1520193600,28.0,20,65,4.9889540000000006
66,Los Llanos de Aridane,ES,28.66,-17.92,1520191800,21.0,20,52,0.80467
67,Coquimbo,CL,-29.95,-71.34,1520193600,20.0,0,64,7.402963999999999
68,Chuy,UY,-33.69,-53.46,1520194887,24.64500000000004,88,83,7.1776564
69,Saldanha,PT,41.42,-6.55,1520194887,5.645000000000039,92,98,10.074468399999999
70,Moron,VE,10.49,-68.2,1520193600,33.0,75,41,2.2691694
71,Georgetown,GY,6.8,-58.16,1520193600,28.0,40,78,6.598293999999999
72,Ribeira Grande,PT,38.52,-28.7,1520191800,14.0,20,62,12.391918
73,Saint-Philippe,CA,45.36,-73.48,1520193300,3.0,90,91,4.184284
74,Jamestown,AU,-33.21,138.6,1520194889,8.545000000000016,0,89,5.648783399999999
75,Grand Gaube,MU,-20.01,57.66,1520193600,25.0,75,94,4.9889540000000006
76,Saint-Marc,HT,19.1,-72.7,1520194890,26.995000000000005,0,46,7.016722400000001
